"uniqueID","mediaTitle","category","year","countryOrigin","genre","peopleScore","criticScore","tconst","parentTitle"
"sqs111800024m4","Sleep Tight, Puddin' Pop (Ep7)","Television",2005,"USA","Comedy",7.1,3.6,NA,"Two and a Half Men S03"
"sqs111800025m4","That Voodoo That I Do Do (Ep8)","Television",2005,"USA","Comedy",7.1,3.6,NA,"Two and a Half Men S03"
"sqs111800026m4","Madame And Her Special Friend (Ep9)","Television",2005,"USA","Comedy",7.1,3.6,NA,"Two and a Half Men S03"
"sqs111800027m4","Phil (Ep5)","Television",2017,"USA","Comedy",7.5,3.8,NA,"Better Things S02"
"sqs111800028m4","Eulogy (Ep6)","Television",2017,"USA","Comedy",7.5,3.8,NA,"Better Things S02"
"sqs111800029m4","Blackout (Ep7)","Television",2017,"USA","Comedy",7.5,3.8,NA,"Better Things S02"
"sqs111800030m4","Arnold Hall (Ep8)","Television",2017,"USA","Comedy",7.5,3.8,NA,"Better Things S02"
"sqs111800031m4","Thanks-Hoarding (Ep5)","Television",2017,"USA","Comedy",8.1,4.1,NA,"Bob's Burgers S08"
"sqs111800032m4","The Bleakening - Part One (Ep6)","Television",2017,"USA","Comedy",8.1,4.1,NA,"Bob's Burgers S08"
"sqs111800033m4","The Bleakening - Part Two (Ep7)","Television",2017,"USA","Comedy",8.1,4.1,NA,"Bob's Burgers S08"
"sqs111800034m4","V for Valentine-Detta (Ep8)","Television",2017,"USA","Comedy",8.1,4.1,NA,"Bob's Burgers S08"
"sqs111800035m4","It's the Great Pumpkin, Phil Dunphy (Ep5)","Television",2017,"USA","Comedy",8.5,4.3,NA,"Modern Family S09"
"sqs111800036m4","Ten Years Later (Ep6)","Television",2017,"USA","Comedy",8.5,4.3,NA,"Modern Family S09"
"sqs111800037m4","Winner Winner Turkey Dinner (Ep7)","Television",2017,"USA","Comedy",8.5,4.3,NA,"Modern Family S09"
"sqs111800038m4","Brushes with Celebrity (Ep8)","Television",2017,"USA","Comedy",8.5,4.3,NA,"Modern Family S09"
"sqs111800039m4","Pilot - Red Oaks (S01, Ep1)","Television",2015,"USA","Comedy",7.9,4,NA,"Red Oaks"
"sqs111800040m4","Doubles (S01, Ep2)","Television",2015,"USA","Comedy",7.9,4,NA,"Red Oaks"
"sqs111800041m4","The Wedding (S01, Ep3)","Television",2015,"USA","Comedy",7.9,4,NA,"Red Oaks"
"sqs111800042m4","MDMA (S01, Ep4)","Television",2015,"USA","Comedy",7.9,4,NA,"Red Oaks"
"sqs111800043m4","Fourth of July (S01, Ep5)","Television",2015,"USA","Comedy",7.9,4,NA,"Red Oaks"
"sqs111800044m4","Swingers (S01, Ep6)","Television",2015,"USA","Comedy",7.9,4,NA,"Red Oaks"
"sqs111800045m4","Body Swap (S01, Ep7)","Television",2015,"USA","Comedy",7.9,4,NA,"Red Oaks"
