"uniqueID","mediaTitle","category","year","countryOrigin","genre","peopleScore","criticScore","tconst","parentTitle"
"sqm091800077m4","Get Out","Movie",2017,"USA","Thriller",7.7,3.9,"tt5052448","Get Out"
"sqm091800078m4","The Hurt Locker","Movie",2008,"USA","Action/Drama",7.6,3.8,"tt0887912","The Hurt Locker"
"sqm091800079m4","Seven Pounds","Movie",2008,"USA","Drama",7.6,3.8,"tt0814314","Seven Pounds"
"sqm091800080m4","October Sky","Movie",1999,"USA","Family",7.8,3.9,"tt0132477","October Sky"
"sqm091800081m4","Into the Wild","Movie",2007,"USA","Drama",8.1,4.1,"tt0758758","Into the Wild"
"sqm101800001m4","Jurassic World: Fallen Kingdom","Movie",2018,"USA","Action",6.6,3.3,"tt4881806","Jurassic World: Fallen Kingdom"
"sqm101800006m4","Uncle Drew","Movie",2018,"USA","Comedy",5.7,2.9,"tt7334528","Uncle Drew"
"sqm101800007m4","Annihilation","Movie",2018,"USA","Thriller",7,3.5,"tt2798920","Annihilation"
"sqm101800008m4","Leave No Trace","Movie",2018,"USA","Drama",7.7,3.9,"tt3892172","Leave No Trace"
"sqm101800010m4","Hearts Beat Loud","Movie",2018,"USA","Drama",7.1,3.6,"tt7158430","Hearts Beat Loud"
"sqm101800011m4","The Catcher Was a Spy","Movie",2018,"USA","Drama",6,3,"tt4602066","The Catcher Was a Spy"
"sqm101800013m4","The Guernsey Literary and Potato Peel Pie Society","Movie",2018,"GBR","Drama",7.1,3.6,"tt1289403","The Guernsey Literary and Potato Peel Pie Society"
"sqm101800014m4","The Mercy","Movie",2018,"GBR","Drama",6,3,"tt3319730","The Mercy"
"sqm101800015m4","At War","Movie",2018,"FRA","Drama",6.8,3.4,"tt7555774","At War"
"sqm101800016m4","Keep an Eye Out","Movie",2018,"FRA","Comedy",6.9,3.5,"tt7156222","Keep an Eye Out"
"sqm101800017m4","Mr. Know-It-All","Movie",2018,"FRA","Comedy",6.6,3.3,"tt7305366","Mr. Know-It-All"
"sqm101800019m4","There Is No Place Like Home","Movie",2018,"ITA","Comedy",6,3,"tt7105944","There Is No Place Like Home"
"sqm101800020m4","Animal","Movie",2018,"ARG","Drama",6.5,3.3,"tt7538958","Animal"
"sqm101800023m4","Eternal Wave","Movie",2017,"CHN","Drama",5.5,2.8,"tt7628068","Eternal Wave"
"sqm101800025m4","How Long Will I Love U","Movie",2018,"CHN","Comedy",6.5,3.3,"tt8404272","How Long Will I Love U"
"sqm101800026m4","Omotenashi","Movie",2018,"TWN","Drama",7.4,3.7,"tt5921100","Omotenashi"
"sqm101800030m4","The Unity of Heroes","Movie",2018,"CHN","Martial Arts",0,0,"tt8787116","The Unity of Heroes"
"sqm101800032m4","Detective Conan: Zero the Enforcer","Movie",2018,"JPN","Animation",7.8,3.9,"tt7880466","Detective Conan: Zero the Enforcer"
"sqm101800034m4","Rainbow Days","Movie",2018,"JPN","Drama",0,0,"tt7493804","Rainbow Days"
"sqm101800035m4","Bhavesh Joshi Superhero","Movie",2018,"IND","Action",7.6,3.8,"tt6129302","Bhavesh Joshi Superhero"
"sqm101800036m4","Ittefaq","Movie",2017,"IND","Thriller",7.2,3.6,"tt6692354","Ittefaq"
"sqm101800037m4","Secret Superstar","Movie",2017,"IND","Family",8.1,4.1,"tt6108090","Secret Superstar"
"sqm101800038m4","Mersal","Movie",2017,"IND","Action",8.2,4.1,"tt6485666","Mersal"
"sqm101800039m4","Dr. Nawariyan","Movie",2017,"LKA","Family",7.4,3.7,"tt7730042","Dr. Nawariyan"
"sqm101800041m4","Mayaanadhi","Movie",2017,"IND","Drama",8,4,"tt6915596","Mayaanadhi"
"sqm101800042m4","Sudani from Nigeria","Movie",2018,"IND","Comedy",8.6,4.3,"tt7581572","Sudani from Nigeria"
