"uniqueID","mediaTitle","category","year","countryOrigin","genre","peopleScore","criticScore"
"sqm081800029m4","Marmalade Boy","Movie",2018,"JPN","Drama","0.00","0.00"
"sqm081800030m4","Summer Blooms","Movie",2017,"JPN","Drama","4.50","2.30"
"sqm081800031m4","Golden Slumber","Movie",2018,"KOR","Action","0.00","0.00"
"sqm081800032m4","The Princess and the Matchmaker","Movie",2018,"KOR","Epic","0.00","0.00"
"sqm081800033m4","Be With You","Movie",2018,"KOR","Drama","0.00","0.00"
"sqm081800034m4","Omok Girl","Movie",2018,"KOR","Drama","0.00","0.00"
"sqm081800035m4","102 Not Out","Movie",2018,"IND","Comedy","7.60","3.80"
"sqm081800036m4","Blackmail","Movie",2018,"IND","Action","7.20","3.60"
"sqm081800037m4","Lucknow Central","Movie",2017,"IND","Action","6.10","3.10"
"sqm081800038m4","Tiger Zinda Hai","Movie",2017,"IND","Action","6.30","3.20"
